login_form,links_in_tags,iframe,popup_window,safe_anchor,onmouseover,right_clic,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,embedded_domain,having_ip_address,no_of_dots,no_of_sensitive_words,out_of_position_tld,https_token,url_length,tinyURL,prefixSuffix,count_special_chars,status
0,80.0,0,0,0.0,0,0,0,45,-1,0,1,1,4,-1,1,3,0,1,-1,37,-1,-1,7,legitimate
0,100.0,0,0,100.0,0,0,0,77,5767,0,0,1,2,1,1,1,0,1,-1,77,-1,-1,7,phishing
0,100.0,0,0,100.0,0,0,0,14,4004,5828815,0,1,0,1,1,4,1,-1,1,126,-1,1,19,phishing
0,100.0,0,0,62.5,0,0,0,62,-1,107721,0,0,3,-1,1,2,0,1,-1,18,-1,-1,5,legitimate
1,76.47058824,0,0,0.0,0,0,0,224,8175,8725,0,0,6,-1,1,2,0,1,-1,55,-1,-1,10,legitimate
0,100.0,0,0,0.0,0,0,1,0,-1,0,0,1,0,1,1,3,0,1,-1,32,-1,1,8,phishing
0,0.0,0,0,100.0,0,0,0,170,7529,0,0,0,1,-1,1,2,0,1,-1,19,-1,-1,5,legitimate
0,100.0,0,0,100.0,0,0,0,76,5767,0,0,1,2,1,1,2,0,1,-1,81,-1,-1,8,phishing
0,0.0,0,0,27.27272727,0,0,0,371,7298,0,0,0,5,1,1,2,0,1,-1,42,1,-1,6,legitimate
0,93.10344828,0,0,58.13953488,0,0,0,128,9368,6774,0,0,5,-1,1,1,0,1,1,104,-1,-1,18,legitimate
0,100.0,0,0,0.0,0,0,0,0,-1,1627089,0,0,2,1,1,3,0,1,1,56,-1,-1,9,legitimate
0,100.0,0,0,62.5,0,0,0,489,7911,944,0,0,6,-1,1,2,0,1,1,43,-1,-1,9,legitimate
0,100.0,0,0,38.79310345,0,0,0,320,1505,158942,0,0,4,1,1,1,0,1,1,83,-1,-1,15,legitimate
0,0.0,0,0,0.0,0,0,0,66,1761,1173197,0,1,4,-1,1,2,0,1,-1,31,-1,-1,6,phishing
0,82.35294118,0,0,69.69696970000001,0,0,0,880,2041,4297684,0,0,2,1,1,2,0,1,1,25,-1,-1,6,legitimate
0,100.0,0,0,0.0,0,0,0,490,3892,0,0,0,4,1,1,3,0,1,-1,51,-1,-1,10,phishing
0,100.0,0,0,76.19047619,0,0,0,3069,8301,99386,0,0,4,1,1,2,0,1,1,31,1,-1,6,legitimate
0,100.0,0,0,0.0,0,0,0,1337,2316,0,0,1,0,1,1,2,0,1,-1,50,-1,-1,8,phishing
0,0.0,0,0,0.0,0,0,0,352,2935,0,1,1,0,1,1,2,0,1,-1,34,-1,-1,7,phishing
0,66.66666667,0,0,0.0,0,0,0,451,3932,927214,0,0,2,-1,1,2,0,1,-1,27,-1,-1,6,legitimate
0,92.59259259,0,0,92.75362319,0,0,0,70,8759,26017,0,0,5,-1,1,3,0,1,-1,63,-1,-1,13,legitimate
0,76.92307692,0,0,0.0,0,0,0,926,5647,1040,0,0,6,-1,1,2,0,1,1,66,1,-1,11,legitimate
0,100.0,0,0,0.0,0,0,0,277,1184,0,0,1,0,-1,1,2,0,1,-1,40,-1,-1,8,phishing
0,100.0,0,0,50.0,0,0,0,541,3476,4672316,0,0,4,1,1,1,0,1,-1,48,-1,1,9,legitimate
0,100.0,0,0,100.0,0,0,0,25,3993,5707171,0,1,0,1,1,4,1,-1,-1,126,-1,1,18,phishing
0,46.15384615,0,0,0.0,0,0,0,373,7296,0,0,1,5,1,1,2,0,1,1,41,1,-1,6,phishing
0,100.0,0,0,90.32258065,0,0,0,315,6989,2203390,0,0,4,1,1,2,0,1,1,36,-1,-1,6,legitimate
1,66.66666667,0,0,20.0,0,0,0,634,4845,5964,0,0,5,1,1,2,0,1,-1,72,-1,1,15,legitimate
0,100.0,0,0,100.0,0,0,0,25,3993,5707171,0,1,0,1,1,4,1,-1,-1,68,-1,-1,9,phishing
0,66.66666667,0,0,0.0,0,0,0,0,-1,0,0,1,0,-1,1,4,0,1,-1,163,-1,-1,23,phishing
0,92.85714286,0,0,50.0,0,0,0,290,1170,390047,0,0,4,1,1,2,0,1,-1,26,-1,-1,6,legitimate
0,20.0,0,0,0.0,0,0,0,224,1237,0,0,1,1,-1,1,2,0,1,-1,64,-1,-1,7,phishing
0,0.0,0,0,25.0,0,0,0,217,5627,0,0,1,5,-1,1,4,0,1,-1,36,1,-1,8,phishing
0,0.0,0,0,0.0,0,0,0,251,3767,9264543,0,1,0,1,1,2,0,1,-1,61,1,-1,10,phishing
0,0.0,0,0,0.0,0,0,0,911,9316,13,0,0,7,-1,1,2,0,1,1,66,-1,-1,9,legitimate
0,0.0,0,0,45.45454545,0,0,0,125,7849,0,0,0,4,1,1,2,0,1,1,35,-1,-1,6,legitimate
1,96.66666667,0,0,0.0,0,0,0,97,3920,0,0,0,2,-1,1,5,0,1,-1,113,-1,-1,19,phishing
0,40.0,0,0,8.333333332999999,0,0,0,1049,5159,0,0,0,8,-1,1,2,0,1,-1,41,-1,1,9,legitimate
0,100.0,0,0,17.39130435,0,0,0,78,-1,74862,0,0,3,-1,1,2,0,1,-1,23,-1,1,7,legitimate
0,72.22222222,0,0,22.80701754,0,0,0,248,5230,5828226,0,0,7,1,1,2,0,1,-1,31,-1,1,6,legitimate
0,100.0,0,0,100.0,0,0,0,162,3125,0,0,1,1,1,1,2,1,1,-1,84,-1,-1,12,phishing
0,100.0,0,0,0.0,0,0,0,88,5026,544886,0,1,4,1,1,2,0,1,-1,29,-1,-1,6,phishing
0,40.0,0,0,60.0,0,0,0,257,2300,0,0,1,2,1,1,2,0,1,-1,98,-1,1,14,phishing
0,94.44444444,0,0,0.0,0,0,1,0,2580,1671658,0,0,2,-1,1,1,0,1,-1,15,-1,-1,4,legitimate
0,100.0,0,0,76.66666667,0,0,0,3305,5825,7698,0,0,7,-1,1,2,0,1,-1,65,-1,-1,11,legitimate
0,7.692307692000001,0,0,0.0,0,0,0,381,8019,0,0,1,4,1,1,2,1,1,1,131,1,1,19,phishing
0,31.25,0,0,25.0,0,0,0,197,7839,607,0,0,6,-1,1,2,0,1,1,50,-1,1,8,legitimate
0,0.0,0,0,0.0,0,0,0,250,2306,0,0,1,0,1,1,2,1,1,-1,51,-1,-1,7,phishing
0,94.73684211,0,0,94.68085106,1,0,0,0,-1,6431,0,0,6,-1,1,3,0,1,1,45,-1,-1,9,legitimate
0,100.0,0,0,0.0,0,0,0,325,1500,0,0,1,0,-1,1,2,0,1,-1,159,-1,-1,16,phishing
0,93.75,0,0,0.0,0,0,0,1278,2739,11657,0,1,6,1,1,2,0,1,1,44,-1,-1,8,phishing
0,45.45454545,0,0,100.0,0,0,0,231,134,1508317,0,1,2,1,1,3,0,1,1,103,-1,-1,12,phishing
0,0.0,0,0,0.0,0,0,0,517,7802,0,0,1,5,-1,1,4,0,1,-1,46,-1,-1,10,phishing
0,100.0,0,0,63.63636364,0,0,0,902,7133,12,0,0,7,-1,1,2,0,1,1,45,-1,-1,8,legitimate
0,28.57142857,0,0,50.0,0,0,0,137,1690,0,0,1,2,1,1,3,0,1,-1,51,-1,-1,9,phishing
1,82.85714286,0,0,9.677419355,0,0,0,237,1588,0,0,1,0,1,1,3,0,1,-1,38,-1,-1,8,phishing
0,100.0,0,0,100.0,0,0,0,77,5767,0,0,1,2,1,1,2,0,1,-1,81,-1,-1,8,phishing
0,52.63157895,0,0,71.42857143,0,0,0,133,7615,2190,0,0,5,1,1,2,0,1,-1,112,1,-1,17,legitimate
0,50.0,0,0,100.0,0,0,0,2974,8348,1,0,0,10,-1,1,2,0,1,1,39,-1,-1,7,phishing
0,33.33333333,0,0,0.0,0,0,0,2974,8348,1,0,1,10,-1,1,2,0,1,1,99,-1,-1,14,phishing
0,100.0,0,0,90.0,0,0,0,315,6989,2203390,0,1,4,1,1,2,0,1,1,45,-1,-1,7,legitimate
0,0.0,0,0,25.0,0,0,0,228,5615,0,0,1,5,-1,1,5,0,1,-1,60,1,-1,11,phishing
0,0.0,0,0,0.0,0,0,0,1630,9327,4053,0,0,5,-1,1,3,0,1,-1,74,-1,-1,17,legitimate
0,100.0,0,0,57.14285714,0,0,0,92,3561,6010,0,0,4,1,1,3,0,1,-1,61,-1,1,11,legitimate
0,0.0,0,0,0.0,0,0,0,230,5614,0,0,0,5,1,1,4,0,1,1,40,1,-1,7,phishing
0,0.0,0,0,0.0,0,0,0,148,5408,0,0,1,1,1,1,3,1,1,-1,52,-1,-1,8,phishing
0,0.0,0,0,0.0,0,0,0,2976,8346,1,0,1,10,-1,1,7,0,1,1,88,1,-1,15,phishing
0,83.33333333,0,0,100.0,0,0,0,3253,5877,24587,0,0,5,1,1,2,0,1,-1,74,-1,-1,10,legitimate
0,7.692307692000001,0,0,96.4504284,0,0,0,288,2633,827,0,1,7,-1,1,2,0,1,-1,46,-1,-1,9,legitimate
0,0.0,0,0,0.0,0,0,0,792,6512,1680566,0,0,4,-1,1,3,0,1,-1,54,-1,-1,8,legitimate
0,0.0,0,0,50.0,0,0,0,0,-1,0,0,1,0,1,1,1,0,1,-1,54,-1,1,9,phishing
0,100.0,0,0,70.37037037,0,0,0,901,7134,12,0,1,7,-1,1,2,0,1,1,38,-1,-1,8,legitimate
0,59.375,0,0,23.68421053,0,0,0,102,9394,1294,0,0,6,-1,1,2,0,1,-1,67,-1,-1,11,legitimate
0,0.0,0,0,0.0,0,0,1,0,5044,0,0,1,0,1,1,5,0,1,-1,62,-1,-1,14,phishing
0,100.0,0,0,100.0,0,0,0,1078,2573,0,0,1,0,1,1,3,0,1,-1,59,-1,-1,10,phishing
0,0.0,0,0,0.0,0,0,0,944,1246,7048,0,1,4,1,1,4,0,1,1,57,-1,-1,8,phishing
1,63.63636364,0,0,100.0,0,0,0,50,2872,8400,0,0,3,1,1,1,0,1,-1,32,-1,-1,7,legitimate
0,0.0,0,0,0.0,0,0,0,212,4537,0,0,1,1,1,1,2,0,1,-1,46,-1,-1,8,phishing
0,100.0,0,0,74.07407407,0,0,0,902,7133,12,0,0,7,-1,1,2,0,1,1,37,-1,-1,7,legitimate
0,0.0,0,0,14.28571429,0,0,0,374,7295,0,0,1,5,-1,1,2,0,1,-1,36,1,-1,5,phishing
0,0.0,0,0,0.0,0,0,0,123,973,8238037,0,1,2,1,1,2,0,1,-1,52,-1,-1,10,phishing
0,0.0,0,0,0.0,0,0,0,374,7296,0,0,1,5,-1,1,2,0,1,-1,32,1,-1,6,phishing
0,50.0,0,0,0.0,0,0,0,179,7491,63,0,0,10,-1,1,1,0,1,1,34,-1,-1,5,legitimate
0,25.0,0,0,10.0,0,0,0,413,-1,479698,0,0,2,-1,1,3,0,1,-1,27,-1,-1,7,legitimate
0,100.0,0,0,0.0,0,0,0,0,-1,0,0,1,1,1,1,2,0,-1,-1,92,-1,-1,12,phishing
0,61.11111111,0,0,35.71428571,0,0,0,323,8442,43102,0,0,5,-1,1,2,0,1,-1,102,-1,-1,17,legitimate
0,0.0,0,0,81.03448276,0,0,0,2470,2277,2426481,0,0,3,1,1,2,0,1,1,32,-1,-1,6,legitimate
0,58.33333333,0,0,20.0,0,0,0,27,1800,0,0,0,3,-1,1,2,0,1,1,29,-1,-1,6,legitimate
0,82.35294118,0,0,82.60869565,0,0,0,1011,-1,0,0,1,4,1,1,4,0,1,-1,119,-1,-1,18,phishing
0,97.5,0,0,50.0,0,0,0,65,3952,3862928,0,0,4,1,1,2,0,1,1,59,-1,-1,9,legitimate
0,0.0,0,0,52.94117647,0,0,0,258,4855,128132,0,0,4,1,1,2,0,1,-1,54,-1,-1,8,legitimate
1,60.0,0,0,10.0,0,0,0,201,166,0,0,1,0,-1,1,3,0,-1,-1,151,-1,-1,9,phishing
0,58.82352941,0,1,53.84615385,0,0,0,654,4093,52436,0,0,4,1,1,3,0,1,-1,84,-1,-1,14,legitimate
0,60.0,0,0,93.33333333,0,0,1,0,-1,1080262,0,1,2,-1,1,3,0,-1,-1,55,-1,-1,11,phishing
0,41.66666667,0,0,75.0,0,0,1,0,-1,294723,0,0,2,-1,1,1,0,1,1,18,-1,-1,5,legitimate
0,12.5,0,0,100.0,0,0,0,2808,8516,8,0,0,10,1,1,2,0,1,1,39,-1,-1,6,legitimate
1,100.0,0,0,56.25,0,0,0,347,7689,381695,0,0,3,-1,1,2,0,1,1,28,-1,1,7,legitimate
0,81.81818182,0,0,86.95652174,0,0,0,295,5913,86462,0,0,5,-1,1,3,0,1,-1,32,-1,1,8,legitimate
0,66.66666667,0,0,81.29032258,0,0,1,0,-1,2346124,0,0,2,-1,1,1,0,1,-1,16,-1,-1,4,legitimate
0,0.0,0,0,0.0,0,0,0,241,4141,0,0,1,0,1,1,1,0,1,-1,23,-1,-1,6,phishing
0,0.0,0,0,5.128205128,0,0,0,85,4664,0,0,0,4,-1,1,3,0,1,-1,29,-1,-1,7,legitimate
0,100.0,0,0,0.0,0,0,0,49,317,0,0,0,0,1,1,2,0,1,1,29,-1,-1,6,phishing
0,60.0,0,0,62.06896552,0,0,0,2009,4566,44445,0,0,5,-1,1,2,0,1,1,41,-1,-1,7,legitimate
0,27.27272727,0,0,0.0,0,0,0,0,-1,3523,0,1,9,-1,1,1,0,1,1,22,1,-1,5,phishing
0,0.0,0,0,0.0,0,0,0,438,657,0,0,1,0,-1,1,3,0,1,-1,52,-1,-1,10,phishing
0,0.0,0,0,0.0,0,0,1,0,-1,9412550,0,1,2,-1,1,3,0,1,-1,38,-1,-1,10,phishing
1,9.090909091,0,0,13.04347826,0,0,1,0,-1,0,0,0,2,1,1,3,0,-1,1,30,-1,-1,7,legitimate
0,100.0,0,0,100.0,0,0,0,25,3993,5707171,0,1,0,1,1,4,1,-1,-1,76,-1,1,10,phishing
1,0.0,0,0,33.33333333,0,0,1,0,-1,0,1,1,0,-1,-1,24,1,1,-1,430,-1,-1,99,phishing
0,100.0,0,0,25.0,0,0,0,291,4823,212735,0,1,4,-1,1,2,0,1,-1,37,1,-1,6,legitimate
0,90.0,0,0,27.77777778,0,0,0,277,11046,545,0,0,6,1,1,3,0,1,-1,73,-1,-1,12,legitimate
0,0.0,0,0,0.0,0,0,0,347,2939,0,0,1,0,-1,1,2,0,1,-1,56,-1,-1,11,phishing
0,0.0,0,0,100.0,0,0,0,2825,3385,12180,0,1,5,-1,1,1,0,1,1,70,-1,-1,14,legitimate
0,0.0,0,0,0.0,0,0,0,517,7802,0,0,1,5,1,1,3,0,1,-1,70,-1,-1,10,phishing
0,100.0,0,0,33.33333333,0,0,0,120,-1,241891,0,1,5,1,1,2,0,1,-1,52,-1,-1,9,legitimate
0,0.0,0,0,0.0,0,0,0,113,5366,3913090,0,0,2,1,1,2,0,1,1,31,-1,1,7,legitimate
0,93.33333333,0,0,0.0,0,0,0,79,2112,0,0,1,1,1,1,4,0,1,1,90,1,-1,11,phishing
0,86.66666667,0,0,71.69811321,0,0,0,150,7156,2272,0,0,3,-1,1,3,0,1,-1,45,-1,-1,9,legitimate
0,40.0,0,0,11.11111111,0,0,0,1164,7602,145276,0,0,4,1,1,3,0,1,-1,55,-1,-1,9,legitimate
0,100.0,0,0,0.0,0,0,0,230,135,0,0,1,0,-1,1,3,0,1,-1,65,-1,-1,12,phishing
1,3.50877193,0,0,29.62962963,0,0,0,644,1546,4669,0,1,2,1,1,2,0,1,-1,41,-1,1,7,phishing
0,6.976744186,0,0,7.391304347999999,0,0,0,358,7,0,0,1,0,1,1,2,0,1,1,71,-1,1,11,phishing
0,0.0,0,0,0.0,0,0,0,2973,8348,1,0,1,10,1,1,2,0,1,1,83,-1,-1,12,phishing
0,100.0,0,0,0.0,0,0,0,321,-1,0,0,1,0,1,1,1,0,1,-1,73,-1,-1,8,phishing
0,100.0,0,0,100.0,0,0,0,182,184,0,0,1,0,1,1,2,0,1,-1,44,-1,1,8,phishing
0,100.0,0,0,0.0,0,0,0,154,2403,819233,0,0,3,-1,1,4,0,1,-1,114,-1,-1,17,phishing
0,100.0,0,0,100.0,0,0,0,25,3992,5697976,0,1,0,1,1,4,1,-1,1,127,-1,1,18,phishing
0,50.0,0,0,0.0,0,0,0,112,254,0,0,0,0,-1,1,4,0,1,-1,99,-1,-1,12,phishing
0,100.0,0,0,0.0,0,0,0,169,6041,0,0,1,1,1,1,2,0,1,-1,56,-1,1,11,phishing
0,0.0,0,0,16.66666667,0,0,0,1847,7284,2788,0,1,7,-1,1,3,0,1,1,51,-1,-1,8,legitimate
0,100.0,0,0,100.0,0,0,1,0,-1,0,0,1,0,-1,1,5,1,-1,-1,51,-1,-1,10,phishing
0,96.0,0,0,66.66666667,0,0,0,0,-1,1166803,0,0,3,1,1,2,0,1,1,40,-1,1,9,legitimate
0,91.89189189,0,0,87.5,0,0,1,0,5111,5692030,0,1,1,-1,1,3,0,1,-1,33,-1,-1,10,phishing
